,state,population_over_15,married_males_last_year,married_females_last_year,divorced_males_last_year,divorced_females_last_year,state,year,married_last_year,divorced_last_year
227,Texas,21446565,226679,222389,91974.0,106445.0,48,2015,449068,198419.0
228,Vermont,529124,4189,4170,2220.0,2230.0,50,2015,8359,4450.0
229,Utah,2228373,29629,31568,8993.0,11611.0,49,2015,61197,20604.0
230,Virginia,6826858,67237,65536,26538.0,30819.0,51,2015,132773,57357.0
231,Washington,5828814,58352,55864,26322.0,27952.0,53,2015,114216,54274.0
232,West Virginia,1531879,13091,15241,8995.0,8317.0,54,2015,28332,17312.0
233,Wisconsin,4703887,37471,38207,16408.0,15253.0,55,2015,75678,31661.0
234,Wyoming,468057,5490,5049,2406.0,3626.0,56,2015,10539,6032.0
235,Puerto Rico,2880600,11298,11094,8109.0,10590.0,72,2015,22392,18699.0
236,Alabama,3947204,33087,33454,20124.0,19416.0,01,2015,66541,39540.0
237,Alaska,582619,7844,8434,2765.0,3222.0,02,2015,16278,5987.0
238,Arizona,5481996,49134,47964,22414.0,25894.0,04,2015,97098,48308.0
239,Arkansas,2390981,24111,24758,12435.0,16169.0,05,2015,48869,28604.0
240,California,31576740,286456,270420,94509.0,111013.0,06,2015,556876,205522.0
241,Colorado,4406120,44191,44013,17937.0,19391.0,08,2015,88204,37328.0
242,Delaware,776531,6887,7455,2282.0,2471.0,10,2015,14342,4753.0
243,District of Columbia,569946,7120,6299,1829.0,2721.0,11,2015,13419,4550.0
244,Connecticut,2971949,22336,20320,10097.0,11710.0,09,2015,42656,21807.0
245,Florida,16889179,148075,140523,66393.0,75834.0,12,2015,288598,142227.0
246,Georgia,8139039,79174,80672,38228.0,34259.0,13,2015,159846,72487.0
247,Idaho,1294692,14656,13574,7863.0,6788.0,16,2015,28230,14651.0
248,Hawaii,1168301,15076,12609,4029.0,3243.0,15,2015,27685,7272.0
249,Illinois,10412828,83494,81462,34427.0,37920.0,17,2015,164956,72347.0
250,Indiana,5314761,48146,49811,25762.0,29009.0,18,2015,97957,54771.0
251,Iowa,2518654,25759,25497,9154.0,9860.0,19,2015,51256,19014.0
252,Kansas,2312560,20800,22039,13400.0,10475.0,20,2015,42839,23875.0
253,Kentucky,3588805,38022,37938,18889.0,20217.0,21,2015,75960,39106.0
254,Louisiana,3740919,33602,32061,15901.0,14903.0,22,2015,65663,30804.0
255,Maine,1121207,8867,9188,6209.0,4424.0,23,2015,18055,10633.0
256,Maryland,4890571,40109,39497,17665.0,18829.0,24,2015,79606,36494.0
257,Massachusetts,5658173,43368,41181,17280.0,23014.0,25,2015,84549,40294.0
258,Michigan,8116804,61506,60470,31415.0,31939.0,26,2015,121976,63354.0
259,Minnesota,4420760,37825,38820,13955.0,17493.0,27,2015,76645,31448.0
260,Mississippi,2388158,24894,24636,8572.0,10914.0,28,2016,49530,19486.0
261,Missouri,4943723,41600,42806,23083.0,20852.0,29,2016,84406,43935.0
262,Montana,852293,7724,7669,4189.0,4307.0,30,2016,15393,8496.0
263,Nebraska,1509438,13476,13288,5450.0,6023.0,31,2016,26764,11473.0
264,Nevada,2376250,23112,21796,12187.0,11180.0,32,2016,44908,23367.0
265,New Hampshire,1123706,9019,8831,4531.0,4140.0,33,2016,17850,8671.0
266,New Jersey,7313609,54404,49605,23939.0,23119.0,34,2016,104009,47058.0
267,New Mexico,1676659,12648,11609,6310.0,6906.0,35,2016,24257,13216.0
268,New York,16287464,126195,120614,44658.0,52254.0,36,2016,246809,96912.0
269,North Carolina,8250416,72878,75970,31067.0,33865.0,37,2016,148848,64932.0
270,North Dakota,608512,6457,5551,2666.0,2603.0,38,2016,12008,5269.0
271,Ohio,9469520,77650,77819,35462.0,37373.0,39,2016,155469,72835.0
272,Oklahoma,3117282,32274,31639,15837.0,16900.0,40,2016,63913,32737.0
273,Oregon,3374727,30581,30041,13265.0,17595.0,41,2016,60622,30860.0
274,Pennsylvania,10585604,80432,77976,38892.0,41269.0,42,2016,158408,80161.0
275,Rhode Island,886433,6560,6450,2701.0,3231.0,44,2016,13010,5932.0
276,South Carolina,4046525,37504,37256,16672.0,18085.0,45,2016,74760,34757.0
277,South Dakota,684721,6554,6402,2295.0,2392.0,46,2016,12956,4687.0
278,Tennessee,5405690,54868,54559,23805.0,27960.0,47,2016,109427,51765.0
279,Texas,21772944,225770,227975,87327.0,101725.0,48,2016,453745,189052.0
280,Vermont,527074,3120,3816,1741.0,1763.0,50,2016,6936,3504.0
281,Utah,2276760,30733,30358,8092.0,12575.0,49,2016,61091,20667.0
282,Virginia,6860841,67707,64157,27279.0,26038.0,51,2016,131864,53317.0
283,Washington,5929275,56912,56794,25128.0,27494.0,53,2016,113706,52622.0
284,West Virginia,1519860,10018,10796,7778.0,7022.0,54,2016,20814,14800.0
